"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 03 11:52:35 WIB 2023","Mon Apr 03 11:52:36 WIB 2023","893","","feature-forgotPassword","","","","TC04-Pengguna gagal meminta link forgot password dengan email yang tidak terdaftar",""
"passed","Mon Apr 03 11:52:50 WIB 2023","Mon Apr 03 11:52:50 WIB 2023","765","","feature-updateProfile","","","","TC10-Pengguna berhasil memperbarui data profile dengan mengisi data yang valid",""
"passed","Mon Apr 03 11:52:37 WIB 2023","Mon Apr 03 11:52:38 WIB 2023","900","","feature-forgotPassword","","","","TC05-Pengguna berhasil meminta link forgot password dengan email yang terdaftar",""
"passed","Mon Apr 03 11:50:48 WIB 2023","Mon Apr 03 11:50:49 WIB 2023","857","","feature-login","","","","TC08-Pengguna berhasil login dengan email dan password yang benar",""
"passed","Mon Apr 03 11:50:24 WIB 2023","Mon Apr 03 11:50:25 WIB 2023","893","","feature-registration","","","","TC02-Pengguna gagal registrasi menggunakan format password yang salah",""
"passed","Mon Apr 03 11:50:46 WIB 2023","Mon Apr 03 11:50:47 WIB 2023","837","","feature-login","","","","TC07-Pengguna gagal login dengan password yang salah",""
"failed","Mon Apr 03 11:50:44 WIB 2023","Mon Apr 03 11:50:44 WIB 2023","2","","feature-forgotPassword","","","","TC05-Pengguna berhasil meminta link forgot password dengan email yang terdaftar",""
"passed","Mon Apr 03 11:50:18 WIB 2023","Mon Apr 03 11:50:22 WIB 2023","3584","","feature-registration","","","","TC01-Pengguna gagal registrasi menggunakan email terdaftar",""
"passed","Mon Apr 03 11:52:43 WIB 2023","Mon Apr 03 11:52:44 WIB 2023","936","","feature-login","","","","TC07-Pengguna gagal login dengan password yang salah",""
"passed","Mon Apr 03 11:50:44 WIB 2023","Mon Apr 03 11:50:45 WIB 2023","826","","feature-login","","","","TC06-Pengguna gagal login dengan email yang belum terdaftar",""
"passed","Mon Apr 03 11:50:31 WIB 2023","Mon Apr 03 11:50:32 WIB 2023","964","","feature-forgotPassword","","","","TC04-Pengguna gagal meminta link forgot password dengan email yang tidak terdaftar",""
"passed","Mon Apr 03 11:52:24 WIB 2023","Mon Apr 03 11:52:27 WIB 2023","2599","","feature-registration","","","","TC01-Pengguna gagal registrasi menggunakan email terdaftar",""
"passed","Mon Apr 03 11:50:33 WIB 2023","Mon Apr 03 11:50:34 WIB 2023","974","","feature-forgotPassword","","","","TC05-Pengguna berhasil meminta link forgot password dengan email yang terdaftar",""
"passed","Mon Apr 03 11:52:45 WIB 2023","Mon Apr 03 11:52:46 WIB 2023","1222","","feature-login","","","","TC08-Pengguna berhasil login dengan email dan password yang benar",""
"passed","Mon Apr 03 11:52:41 WIB 2023","Mon Apr 03 11:52:42 WIB 2023","833","","feature-login","","","","TC06-Pengguna gagal login dengan email yang belum terdaftar",""
"passed","Mon Apr 03 11:50:26 WIB 2023","Mon Apr 03 11:50:27 WIB 2023","959","","feature-registration","","","","TC03-Pengguna berhasil registrasi dengan email yang belum terdaftar",""
"passed","Mon Apr 03 11:50:50 WIB 2023","Mon Apr 03 11:50:50 WIB 2023","370","","feature-updateProfile","","","","TC09-Pengguna gagal memperbarui profile dengan mengosongkan semua data",""
"passed","Mon Apr 03 11:50:52 WIB 2023","Mon Apr 03 11:50:52 WIB 2023","350","","feature-updateProfile","","","","TC10-Pengguna berhasil memperbarui data profile dengan mengisi data yang valid",""
"passed","Mon Apr 03 11:52:47 WIB 2023","Mon Apr 03 11:52:48 WIB 2023","749","","feature-updateProfile","","","","TC09-Pengguna gagal memperbarui profile dengan mengosongkan semua data",""
"passed","Mon Apr 03 11:52:30 WIB 2023","Mon Apr 03 11:52:31 WIB 2023","898","","feature-registration","","","","TC03-Pengguna berhasil registrasi dengan email yang belum terdaftar",""
"passed","Mon Apr 03 11:52:29 WIB 2023","Mon Apr 03 11:52:30 WIB 2023","1095","","feature-registration","","","","TC02-Pengguna gagal registrasi menggunakan format password yang salah",""
